,uid,pairid,lalco,ldep,llife,lcrim,ralco,rdep,rlife,rcrim,secElasped,chosen,order,alcodiff,depdiff,lifediff,crimdiff,gender,age,numberOfChildren,employment,maritalStatus,ethnicity,political,religion,religiousness,econStatus,pairid
3025,4,hard3,0,1,2,2,2,0,2,0,7,1,25,-2,1,0,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard3
3026,4,random,4,2,2,1,2,2,1,1,5,0,26,2,0,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3027,4,random,4,1,1,0,0,1,2,1,3,1,27,4,0,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3028,4,random,0,0,1,1,2,0,3,2,4,0,28,-2,0,-2,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3029,4,random,2,2,2,1,0,2,3,2,3,0,29,2,0,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3030,4,easy2,0,2,3,0,4,0,1,2,42,1,30,-4,2,2,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,easy2
3031,4,easy1,4,0,1,2,0,0,3,0,2,0,31,4,0,-2,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,easy1
3032,4,random,2,0,1,0,0,0,2,1,2,0,32,2,0,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3033,4,random,4,1,1,0,2,1,2,1,2,0,33,2,0,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3034,4,random,4,0,3,1,2,1,3,0,82,0,34,2,-1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3035,4,random,4,0,2,2,0,0,3,0,54,0,35,4,0,-1,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3036,4,attcheck,4,0,-1,2,0,2,3,0,3,0,36,4,-2,-4,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,attcheck
3037,4,hard2,2,1,2,0,0,0,2,1,2,1,37,2,1,0,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard2
3038,4,attcheck,4,0,-1,2,0,2,3,0,2,0,38,4,-2,-4,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,attcheck
3039,4,random,4,0,3,1,2,2,3,0,2,0,39,2,-2,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3040,4,random,0,2,3,1,2,1,3,2,4,1,40,-2,1,0,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3041,4,random,2,0,2,1,2,2,3,1,2,0,41,0,-2,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3042,4,attcheck,4,0,-1,2,0,2,3,0,2,0,42,4,-2,-4,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,attcheck
3043,4,random,2,0,3,1,2,2,2,2,2,0,43,0,-2,1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3044,4,random,4,1,1,0,4,0,1,2,3,1,44,0,1,0,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3045,4,random,2,0,1,0,4,2,2,1,2,0,45,-2,-2,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3046,4,random,0,0,3,1,2,2,1,1,2,0,46,-2,-2,2,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3047,4,random,2,0,1,0,4,1,2,2,2,0,47,-2,-1,-1,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3048,4,random,0,0,2,1,2,2,3,0,3,0,48,-2,-2,-1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3049,4,random,4,0,3,1,0,1,1,0,5,0,49,4,-1,2,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3050,4,random,4,2,1,1,0,0,1,0,2,1,50,4,2,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3051,4,random,0,0,3,1,4,2,3,0,2,0,51,-4,-2,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3052,4,easy3,4,0,1,2,0,1,3,0,3,0,52,4,-1,-2,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,easy3
3053,4,random,2,0,3,2,2,1,3,1,2,0,53,0,-1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3054,4,random,0,2,2,1,0,0,1,1,2,1,54,0,2,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3055,4,random,2,0,2,2,2,2,1,2,2,0,55,0,-2,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3056,4,random,2,0,2,2,2,2,2,0,2,0,56,0,-2,0,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3057,4,random,2,2,3,2,0,2,3,1,4,0,57,2,0,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3058,4,random,2,1,1,2,0,0,2,2,2,1,58,2,1,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3059,4,random,4,0,1,0,0,1,2,1,2,0,59,4,-1,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4200,4,random,4,2,2,1,4,1,3,0,20,1,0,0,1,-1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4201,4,random,0,0,1,0,4,1,1,2,2,0,1,-4,-1,0,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4202,4,random,4,2,2,2,0,0,3,2,2,1,2,4,2,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4203,4,random,0,1,3,1,0,2,1,1,5,0,3,0,-1,2,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4204,4,random,4,2,1,1,0,0,3,2,3,1,4,4,2,-2,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4205,4,easy3,0,1,3,0,4,0,1,2,1,1,5,-4,1,2,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,easy3
4206,4,random,4,0,1,2,2,0,2,0,8,0,6,2,0,-1,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4207,4,easy2,4,0,1,2,0,2,3,0,2,0,7,4,-2,-2,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,easy2
4208,4,random,2,2,3,2,4,2,1,2,2,0,8,-2,0,2,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4209,4,random,4,1,3,0,0,0,1,2,2,1,9,4,1,2,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4210,4,random,2,0,1,1,0,0,1,1,2,0,10,2,0,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4211,4,random,4,0,2,1,0,2,3,2,2,0,11,4,-2,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4212,4,random,0,1,2,1,4,0,2,1,2,1,12,-4,1,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4213,4,random,2,1,1,2,4,0,1,0,2,1,13,-2,1,0,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4214,4,attcheck,4,0,-1,2,0,2,3,0,2,0,14,4,-2,-4,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,attcheck
4215,4,hard3,2,0,2,0,0,1,2,2,3,0,15,2,-1,0,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard3
4216,4,random,0,1,2,1,2,0,2,0,2,1,16,-2,1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4217,4,random,0,0,3,1,2,2,1,0,3,1,17,-2,-2,2,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4218,4,random,2,0,1,1,0,2,2,2,3,0,18,2,-2,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4219,4,random,4,0,1,1,4,2,2,1,2,0,19,0,-2,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4220,4,random,0,2,1,2,0,2,3,1,3,1,20,0,0,-2,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4221,4,random,2,2,2,2,4,2,1,0,2,1,21,-2,0,1,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4222,4,random,4,2,1,0,4,1,3,2,2,0,22,0,1,-2,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4223,4,random,0,1,2,1,4,1,1,1,3,0,23,-4,0,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4224,4,random,0,2,3,2,0,0,2,0,2,1,24,0,2,1,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4225,4,random,0,1,3,2,4,2,1,1,2,1,25,-4,-1,2,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4226,4,random,2,2,2,2,2,0,1,2,3,1,26,0,2,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4227,4,random,2,0,1,2,2,0,1,1,4,0,27,0,0,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4228,4,easy1,4,0,1,2,0,0,3,0,3,0,28,4,0,-2,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,easy1
4229,4,random,0,0,3,0,2,1,2,1,14,1,29,-2,-1,1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4230,4,hard2,2,1,2,0,0,0,2,1,36,1,30,2,1,0,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard2
4231,4,random,4,2,2,1,4,1,3,2,4,1,31,0,1,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4232,4,attcheck,0,2,3,0,4,0,-1,2,1,1,32,-4,2,4,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,attcheck
4233,4,random,2,1,1,1,4,2,1,0,3,0,33,-2,-1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4234,4,random,0,1,3,1,2,0,1,0,2,1,34,-2,1,2,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4235,4,random,4,2,3,2,2,1,3,1,4,1,35,2,1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4236,4,hard1,2,2,2,0,0,0,2,2,2,1,36,2,2,0,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard1
4237,4,random,4,1,2,0,0,2,1,0,2,0,37,4,-1,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4238,4,random,0,0,1,1,2,1,3,1,1,0,38,-2,-1,-2,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4239,4,random,0,0,2,0,4,0,2,2,3,1,39,-4,0,0,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4240,4,random,2,0,1,0,4,0,3,1,2,1,40,-2,0,-2,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4241,4,random,0,1,3,2,2,2,1,2,3,1,41,-2,-1,2,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4242,4,attcheck,4,0,-1,2,0,2,3,0,2,0,42,4,-2,-4,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,attcheck
4243,4,random,4,1,2,1,2,2,2,0,4,0,43,2,-1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4244,4,random,2,0,3,0,4,2,3,0,2,0,44,-2,-2,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4245,4,random,0,1,1,1,4,0,2,0,2,1,45,-4,1,-1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4246,4,random,0,0,3,2,0,2,3,1,2,0,46,0,-2,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4247,4,random,0,0,3,2,0,1,3,1,2,0,47,0,-1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4248,4,random,0,0,3,1,4,2,2,1,2,0,48,-4,-2,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4249,4,random,4,1,1,1,4,0,2,0,2,1,49,0,1,-1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4250,4,random,4,1,2,1,2,0,3,0,2,1,50,2,1,-1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4251,4,random,0,2,2,0,0,2,3,0,6,1,51,0,0,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4252,4,random,2,0,3,1,2,1,3,0,2,0,52,0,-1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4253,4,random,2,0,3,0,2,0,3,1,4,1,53,0,0,0,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4254,4,random,0,2,3,0,2,0,2,1,2,1,54,-2,2,1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4255,4,random,2,0,1,0,0,2,3,1,2,0,55,2,-2,-2,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4256,4,random,2,1,1,1,4,2,1,2,2,1,56,-2,-1,0,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4257,4,random,4,2,1,2,4,0,2,1,2,1,57,0,2,-1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4258,4,random,4,2,1,1,2,0,3,2,3,1,58,2,2,-2,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
4259,4,random,0,0,1,1,4,2,2,0,2,0,59,-4,-2,-1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5400,4,random,2,1,3,0,2,0,3,0,21,1,0,0,1,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5401,4,random,0,0,2,0,4,2,2,0,7,0,1,-4,-2,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5402,4,random,0,2,1,0,2,2,2,0,5,1,2,-2,0,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5403,4,easy3,0,1,3,0,4,0,1,2,4,1,3,-4,1,2,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,easy3
5404,4,random,0,0,1,2,2,0,2,0,6,1,4,-2,0,-1,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5405,4,random,2,1,2,0,2,1,3,0,7,1,5,0,0,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5406,4,hard1,0,0,2,2,2,2,2,0,3,0,6,-2,-2,0,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard1
5407,4,random,4,2,3,0,0,0,2,1,3,1,7,4,2,1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5408,4,hard2,2,1,2,0,0,0,2,1,3,1,8,2,1,0,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard2
5409,4,hard3,0,1,2,2,2,0,2,0,3,1,9,-2,1,0,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard3
5410,4,random,0,2,2,2,0,2,3,2,4,1,10,0,0,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5411,4,random,0,1,1,2,2,0,1,1,5,1,11,-2,1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5412,4,random,4,2,3,1,0,2,3,1,4,0,12,4,0,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5413,4,random,4,0,2,0,2,0,3,1,4,0,13,2,0,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5414,4,attcheck,4,0,-1,2,0,2,3,0,4,0,14,4,-2,-4,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,attcheck
5415,4,random,0,1,3,2,2,1,2,1,9,0,15,-2,0,1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5416,4,random,0,1,1,2,2,0,2,2,5,1,16,-2,1,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5417,4,random,0,1,3,1,2,0,3,1,3,1,17,-2,1,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5418,4,random,0,0,2,0,4,1,3,2,5,0,18,-4,-1,-1,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5419,4,random,2,0,2,1,0,1,2,0,3,0,19,2,-1,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5420,4,random,2,0,1,2,4,1,1,0,3,0,20,-2,-1,0,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
5421,4,random,0,0,2,2,4,0,2,2,4,1,21,-4,0,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
